bar_start_utc,bar_start_kst,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2026-02-03 00:00,2026-02-03 09:00,157900.0,160200.0,157200.0,159500.0,9668117,,,,,,
2026-02-03 01:00,2026-02-03 10:00,159450.0,161600.0,159100.0,160700.0,4012567,,,,,,
2026-02-03 02:00,2026-02-03 11:00,160700.0,160750.0,159200.0,160400.0,2482472,,,,,,
2026-02-03 03:00,2026-02-03 12:00,160400.0,161200.0,160300.0,160900.0,2251195,,,,,,
2026-02-03 04:00,2026-02-03 13:00,161000.0,164900.0,160900.0,164500.0,5283958,,,,,,
2026-02-03 05:00,2026-02-03 14:00,164500.0,166600.0,164200.0,166200.0,6559112,,,,,,
2026-02-04 00:00,2026-02-04 09:00,163500.0,165300.0,163100.0,163500.0,8213066,,,,,,
2026-02-04 01:00,2026-02-04 10:00,163500.0,167800.0,163400.0,167500.0,4785794,,,,,,
2026-02-04 02:00,2026-02-04 11:00,167500.0,168500.0,166200.0,166500.0,4128945,,,,,,
2026-02-04 03:00,2026-02-04 12:00,166600.0,167900.0,166000.0,166900.0,2500738,,,,,,
2026-02-04 04:00,2026-02-04 13:00,166900.0,167900.0,166500.0,167600.0,2271219,,,,,,
2026-02-04 05:00,2026-02-04 14:00,167600.0,169400.0,167500.0,168700.0,4541550,,,,,,
2026-02-05 00:00,2026-02-05 09:00,162000.0,164000.0,162000.0,162700.0,10502630,,,,,,
2026-02-05 01:00,2026-02-05 10:00,162750.0,163700.0,162200.0,162300.0,4337477,,,,,,
2026-02-05 02:00,2026-02-05 11:00,162300.0,162300.0,160000.0,160200.0,5949436,,,,51.4,2632.14,
2026-02-05 03:00,2026-02-05 12:00,160100.0,160400.0,158500.0,158600.0,5723268,,,,48.1,2579.85,
2026-02-05 04:00,2026-02-05 13:00,158600.0,161600.0,158500.0,161200.0,4484416,,,,53.3,2617.0,
2026-02-05 05:00,2026-02-05 14:00,161200.0,161200.0,159300.0,159300.0,3570362,,,,49.4,2565.79,
2026-02-06 00:00,2026-02-06 09:00,154100.0,155400.0,151600.0,155300.0,12644448,,,,42.5,2932.52,
2026-02-06 01:00,2026-02-06 10:00,155300.0,156300.0,153000.0,156200.0,5401564,162435.0,,,44.4,2958.76,
2026-02-06 02:00,2026-02-06 11:00,156200.0,160300.0,156100.0,157700.0,5799736,162345.0,,,47.5,3047.42,
2026-02-06 03:00,2026-02-06 12:00,157600.0,158400.0,156600.0,158200.0,2521027,162220.0,,,48.5,2958.32,
2026-02-06 04:00,2026-02-06 13:00,158200.0,158400.0,155300.0,155800.0,2759486,161990.0,,,44.0,2968.44,
2026-02-06 05:00,2026-02-06 14:00,155700.0,159300.0,154800.0,159200.0,3941619,161905.0,,,50.9,3077.84,
2026-02-09 00:00,2026-02-09 09:00,168600.0,168700.0,166600.0,167450.0,0,162052.5,,,62.9,3536.57,
2026-02-09 01:00,2026-02-09 10:00,167450.0,167500.0,165000.0,166900.0,4213886,162087.5,,,61.8,3462.52,
2026-02-09 02:00,2026-02-09 11:00,166800.0,167500.0,166100.0,166300.0,2545208,162227.5,,,60.6,3315.2,
2026-02-09 03:00,2026-02-09 12:00,166300.0,167100.0,166200.0,166400.0,1658136,162172.5,,,60.7,3142.69,
2026-02-09 04:00,2026-02-09 13:00,166400.0,166900.0,165700.0,166500.0,1933395,162172.5,,,60.9,3003.92,
2026-02-09 05:00,2026-02-09 14:00,166500.0,167100.0,166300.0,166500.0,2298943,162152.5,,,60.9,2846.5,
2026-02-10 00:00,2026-02-10 09:00,167400.0,168100.0,166400.0,167100.0,6142533,162127.5,,,61.9,2764.61,
2026-02-10 01:00,2026-02-10 10:00,167200.0,167400.0,165500.0,166700.0,2704214,162027.5,,,60.8,2702.85,
2026-02-10 02:00,2026-02-10 11:00,166700.0,167000.0,166400.0,166800.0,1644633,162232.5,,,61.0,2552.65,
2026-02-10 03:00,2026-02-10 12:00,166800.0,167200.0,166500.0,166700.0,1809642,162452.5,,,60.6,2420.31,
2026-02-10 04:00,2026-02-10 13:00,166800.0,166900.0,165800.0,166900.0,2105448,162787.5,,,61.1,2326.01,
2026-02-10 05:00,2026-02-10 14:00,166900.0,167200.0,166500.0,166900.0,2382855,163202.5,,,61.1,2209.86,
2026-02-11 00:00,2026-02-11 09:00,164000.0,165400.0,162000.0,164400.0,6392928,163362.5,,,52.6,2402.02,
2026-02-11 01:00,2026-02-11 10:00,164400.0,166200.0,164300.0,166000.0,2962242,163697.5,,,56.7,2366.16,
2026-02-11 02:00,2026-02-11 11:00,166100.0,166600.0,165600.0,166500.0,1866012,164257.5,,,58.0,2268.57,
2026-02-11 03:00,2026-02-11 12:00,166500.0,167400.0,166500.0,167300.0,2389115,164812.5,,,59.9,2170.82,
2026-02-11 04:00,2026-02-11 13:00,167300.0,168000.0,167200.0,167600.0,2984663,165307.5,,,60.7,2072.9,
2026-02-11 05:00,2026-02-11 14:00,167500.0,168600.0,167000.0,167500.0,3271556,165772.5,,,60.3,2039.12,
2026-02-12 00:00,2026-02-12 09:00,171200.0,174900.0,170100.0,174600.0,10877532,166712.5,,,73.6,2422.04,
2026-02-12 01:00,2026-02-12 10:00,174500.0,179400.0,173950.0,179400.0,7523696,167722.5,,,78.8,2638.33,
