session_date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2019-07-01,279.5899963378906,279.67999267578125,276.8500061035156,277.2699890136719,74400000,,,,,,
2019-07-02,276.05999755859375,277.4599914550781,274.6300048828125,275.9700012207031,65500000,,,,,,
2019-07-03,275.57000732421875,276.69000244140625,271.8999938964844,272.3699951171875,97500000,,,,,,
2019-07-04,273.17999267578125,274.6099853515625,271.92999267578125,274.5400085449219,77500000,,,,,,
2019-07-05,274.739990234375,275.2300109863281,272.4100036621094,274.3500061035156,60000000,,,,,,
2019-07-08,271.3800048828125,271.6700134277344,268.3800048828125,268.54998779296875,75100000,,,,,,
2019-07-09,269.6000061035156,270.2200012207031,267.7200012207031,267.7200012207031,71900000,,,,,,
2019-07-10,269.2900085449219,270.3299865722656,268.6000061035156,268.75,67500000,,,,,,
2019-07-11,270.5799865722656,272.9700012207031,270.4599914550781,271.7799987792969,107400000,,,,,,
2019-07-12,272.2099914550781,273.2300109863281,271.2799987792969,272.67999267578125,55700000,,,,,,
2019-07-15,272.05999755859375,273.3800048828125,270.989990234375,272.6400146484375,83600000,,,,,,
2019-07-16,272.7900085449219,274.5400085449219,272.1400146484375,274.04998779296875,137100000,,,,,,
2019-07-17,272.1300048828125,272.2799987792969,270.2900085449219,271.4800109863281,117900000,,,,,,
2019-07-18,271.04998779296875,271.6300048828125,269.7300109863281,270.6700134277344,80100000,,,,,,
2019-07-19,272.7099914550781,274.95001220703125,272.2099914550781,274.54998779296875,87900000,,,,45.1,3.22,
2019-07-22,273.8999938964844,275.3500061035156,273.57000732421875,274.54998779296875,60900000,,,,45.1,3.12,
2019-07-23,274.92999267578125,276.55999755859375,274.8399963378906,275.9200134277344,95100000,,,,48.1,3.04,
2019-07-24,275.1199951171875,276.4800109863281,272.9100036621094,273.2200012207031,84300000,,,,43.1,3.08,
2019-07-25,274.0799865722656,274.6199951171875,271.25,273.0400085449219,95700000,,,,42.8,3.1,
2019-07-26,271.4100036621094,272.55999755859375,270.57000732421875,272.25,89800000,272.82,,,41.3,3.05,
2019-07-29,271.2099914550781,271.9100036621094,267.07000732421875,267.75,78800000,272.34,,,34.2,3.21,
