session_date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2024-01-02,78200.0,79800.0,78200.0,79600.0,17142847,,,,,,
2024-01-03,78500.0,78800.0,77000.0,77000.0,21753644,,,,,,
2024-01-04,76100.0,77300.0,76100.0,76600.0,15324439,,,,,,
2024-01-05,76700.0,77100.0,76400.0,76600.0,11304316,,,,,,
2024-01-08,77000.0,77500.0,76400.0,76500.0,11088724,,,,,,
2024-01-09,77400.0,77700.0,74300.0,74700.0,26019249,,,,,,
2024-01-10,75000.0,75200.0,73200.0,73600.0,20259529,,,,,,
2024-01-11,72900.0,73600.0,72700.0,73200.0,57691266,,,,,,
2024-01-12,73000.0,74100.0,72800.0,73100.0,13038939,,,,,,
2024-01-15,73200.0,74000.0,73200.0,73900.0,2957915,,,,,,
2024-01-16,73500.0,73700.0,72500.0,72600.0,14760415,,,,,,
2024-01-17,73100.0,73300.0,71000.0,71000.0,22683660,,,,,,
2024-01-18,71600.0,72000.0,70700.0,71700.0,17853397,,,,,,
2024-01-19,73500.0,74700.0,73000.0,74700.0,23363427,,,,,,
2024-01-22,75900.0,76000.0,75000.0,75100.0,19673375,,,,34.3,1671.43,
2024-01-23,75700.0,75800.0,74300.0,75200.0,14786224,,,,34.8,1659.18,
2024-01-24,75200.0,75200.0,73500.0,74000.0,12860661,,,,31.7,1662.1,
2024-01-25,74200.0,74800.0,73700.0,74100.0,11737747,,,,32.2,1621.95,
2024-01-26,73700.0,74500.0,73300.0,73400.0,11160062,,,,30.4,1591.81,
2024-01-29,73800.0,75200.0,73500.0,74400.0,13976521,74550.0,,,35.9,1606.68,
2024-01-30,75000.0,75300.0,73700.0,74300.0,12244418,74285.0,,,35.6,1606.2,
2024-01-31,73400.0,74000.0,72500.0,72700.0,15703560,74070.0,,,31.1,1620.05,
2024-02-01,73000.0,74200.0,72900.0,73600.0,19881033,73920.0,,,36.0,1611.47,
2024-02-02,74000.0,75200.0,73700.0,75200.0,14955881,73850.0,,,43.7,1610.65,
2024-02-05,74200.0,74800.0,73500.0,74300.0,19026021,73740.0,,,40.8,1617.03,
2024-02-06,74300.0,74700.0,73300.0,74400.0,14559254,73725.0,,,41.2,1601.53,
2024-02-07,74600.0,75500.0,74300.0,75000.0,16566445,73795.0,,,44.1,1572.85,
2024-02-08,75000.0,75200.0,73600.0,74100.0,20810708,73840.0,,,40.9,1574.79,
2024-02-13,74800.0,75200.0,74400.0,75200.0,21966745,73945.0,,,46.1,1540.88,
2024-02-14,73700.0,74300.0,73700.0,74000.0,12434945,73950.0,,,41.8,1537.96,
2024-02-15,74200.0,74400.0,73000.0,73200.0,14120600,73980.0,,,39.1,1528.1,
2024-02-16,73300.0,73400.0,72500.0,72800.0,13444781,74070.0,,,37.8,1483.24,
2024-02-19,72800.0,73900.0,72800.0,73800.0,12726404,74175.0,,,42.9,1455.86,
2024-02-20,73700.0,73700.0,72800.0,73300.0,14681477,74105.0,,,41.1,1423.3,
2024-02-21,73400.0,73700.0,72900.0,73000.0,11503495,74000.0,,,40.0,1378.78,
2024-02-22,73800.0,73900.0,72700.0,73100.0,15208934,73895.0,,,40.6,1366.01,
